dumbSQ,smartSQ,dumbLIB,smartLIB
25,18,22.15,18.67
23,17,21.4,19.27
27,18,21.15,18.3
20,17,20.63,18.1
23,17,20.78,19.47
24,17,20.6,20.48
24,17,21.25,18.87
26,18,20.33,18.88
25,18,20.6,18.2
24,17,18.2,17.8
22,20,20.98,18.47
24,16,21.72,18.78
24,17,21.73,18.53
22,19,21.38,17.68
23,17,22,17.53
23,17,22.9,19.48
23,16,20.18,17.98
26,18,20.37,17.8
24,17,22.45,18.52
24,17,22.27,17.5
26,19,22.03,19.2
25,17,21.88,18.98
22,18,18.77,17.58
25,18,20.88,19.53
24,16,19.07,18.7
24,16,21.5,18.47
26,18,21.67,18.75
25,16,20.32,17.5
22,16,19.68,19.87
27,17,22.22,18.15
26,17,20.92,19.15
21,17,22.18,18.42
25,21,22.15,18.55
24,17,21.57,17.98
23,17,22.05,19.07
24,17,20.05,19.43
28,17,21.68,18.5
24,17,20.05,18.27
22,16,21.45,18.53
25,18,22.18,18.17
23,18,21.95,17.5
23,18,20.1,18.32
24,17,22.5,20.07
24,17,20.45,18.25
25,17,21.08,19.08
22,17,20.87,19.68
26,17,22.65,19.1
25,17,19.78,17.93
21,18,21.67,18.72
23,21,20.53,17.6
24,17,22,18.5
25,18,21.55,19.32
20,19,19.82,19.07
26,16,22.07,20.45
24,16,21.15,18.68
21,19,22.3,18.43
25,17,19.97,18.95
23,17,19.6,17.5
24,16,21.08,18.5
26,17,21.55,18.23
23,16,20.4,18.98
23,17,21.12,18
28,17,21.38,18.85
26,16,20.12,18.35
28,18,21.8,18.6
27,17,19.1,17.5
24,18,23.05,19.65
25,17,20.7,18
28,20,19.98,18.3
23,16,23.05,17.98
27,17,20.77,19.75
20,20,19.77,19.42
26,18,20.35,19.8
21,17,20.3,17.5
25,17,22.38,18.03
24,20,20.23,18.88
25,20,22.53,17.5
23,18,22.25,17.78
26,19,21.38,17.5
24,18,20.67,18.05
23,19,22.4,18.53
21,20,20,20.18
27,19,20.87,18.82
25,17,21.77,17.98
23,20,22.58,17.98
20,17,20.28,19.73
27,16,22.3,18.3
25,17,20.32,18.27
22,17,20.68,18.43
25,18,21.23,20.48
25,17,21.78,18.15
22,17,20.65,18
26,20,21.18,19.33
27,18,22.12,18.32
20,18,20.82,19.48
26,17,22.8,17.55
25,17,21.43,18.17
25,16,20.75,18.6
22,17,20.53,19.25
25,18,22.55,18.1
26,20,21.38,18.45
24,16,20.03,18.77
24,19,20.9,18.58
22,16,20.58,18.68
26,18,22.2,18.25
25,16,20.77,18.88
21,17,22.27,20.07
26,17,21,17.5
26,16,21.17,17.58
22,17,19.63,19.28
26,19,21.65,18.87
28,16,21.13,18.92
30,18,21.9,18.75
23,20,22.57,18.5
23,17,23.43,19.02
22,19,21.2,19.25
22,18,21.08,17.97
27,17,21.17,18.27
25,17,21.12,20
26,18,21.93,19.08
26,17,20.73,18.73
24,19,21.48,18.12
23,17,20.13,19.03
25,16,21.97,18.65
17,16,19,18.88
24,18,19.97,17.98
23,19,19.73,18.2
27,18,19.28,19.07
22,18,19.77,18.93
25,18,21.67,18.6
23,17,21.58,18.17
22,18,20.58,17.95
29,16,23.73,19.47
21,19,23.25,19.62
26,18,19.48,18.9
24,20,21.12,18.48
25,20,21,17.95
26,16,22.9,19.02
25,19,21.73,20.05
21,17,22.17,18.82
28,17,21.73,17.67
23,17,19.35,17.78
22,19,23.22,17.5
26,18,22.43,18.93
23,18,19.5,18.75
25,21,20.52,18.85
24,20,21.82,17.63
24,18,21.1,18.67
27,18,19.67,18.67
26,17,21.2,18.28
23,18,21.48,19.02
27,17,19.6,17.92
24,17,20.9,19.33
27,19,20.98,18.07
24,17,20.38,17.5
22,19,21.87,18.18
24,17,20.58,18.93
25,18,21.22,18.15
24,17,21.35,17.5
22,17,19.78,17.82
22,18,20.13,17.5
24,16,22.25,18.17
26,16,22.28,18.38
22,18,22.28,18.98
24,20,21.82,18.82
28,18,20.93,18.27
24,17,22.47,17.93
24,18,19.75,19.53
23,17,23.15,18.38
25,17,19.63,18.98
23,17,20.43,20.13
25,17,19.87,18.25
28,17,21.27,19.6
27,17,20.72,18.08
25,17,20.1,18.27
22,16,23.22,19.33
23,16,20.8,19.15
21,20,20.22,17.5
29,18,20.85,19.73
23,18,20.88,18.6
27,20,21.2,18.12
21,18,21.12,19
26,18,19.2,19
22,17,20.32,19.02
22,17,22.57,19.35
24,19,20.72,18.43
25,17,20.95,19.13
24,18,21.63,18.53
26,16,21.92,19.58
24,17,23.02,17.5
23,16,22.48,17.58
24,18,22.75,18.97
21,16,22.12,18.85
23,18,22.87,19.55
25,17,22.65,18.47
25,18,19.83,19.48
25,18,20.33,18.77
23,19,20.95,18.13
24,16,21.68,18.45
23,18,21.75,17.93
25,19,21.48,18.08
24,16,20.6,17.5
25,18,20.33,17.65
22,17,20.13,20.32
23,19,23.25,18.5
26,20,23.52,19.78
22,17,20.37,18.18
22,17,22.23,19.88
25,18,20.8,18.97
31,16,20.87,19.67
22,17,23.07,19.23
23,17,20.68,17.63
23,17,22.25,18.48
24,17,19.83,19.37
25,17,20.58,18.88
21,16,20.8,20.27
22,17,20.58,18.28
23,16,21.58,18.68
24,17,18.57,19.07
24,17,20.82,17.5
24,18,20.52,17.63
25,19,20.02,17.82
23,18,19.97,18.33
28,17,20.72,18.25
22,17,20.13,18.05
22,20,21.92,19.8
25,17,19.93,17.5
21,17,21.67,18.95
25,17,21.48,18.58
24,19,20.35,18
22,17,20.5,17.83
22,18,20.4,18.78
23,16,20.35,17.58
25,18,20.6,17.98
24,17,21.12,18.63
21,18,21.55,18.08
27,19,20.68,17.98
22,16,20.62,18.98
27,18,19.97,18.53
27,18,20.67,19.5
26,18,22.17,18.2
24,16,19.3,18.47
23,18,20.4,18.4
23,17,18.97,20.22
23,16,20.98,17.82
25,18,21.22,18.17
23,17,21.05,19.12
28,18,21.67,17.7
27,20,19.88,18.43
27,17,19.88,20.88
23,18,19.75,19.32
19,18,20.97,18.57
21,19,20.18,19.15
25,19,21.4,19.05
22,16,20.68,19.7
23,20,20.15,19.05
28,17,20.92,17.5
21,18,20.28,17.92
27,20,22.03,19.77
26,16,21.5,18.38
22,18,22.52,18.73
25,19,20.98,17.83
24,19,20.97,17.8
21,18,21.93,17.5
21,18,19.82,19.22
25,17,19.98,18.22
24,16,20.78,20.25
23,20,20.22,17.87
25,17,21.78,18.72
25,17,20.13,17.98
23,17,21.32,18.55
23,17,22.22,18.23
23,17,23.48,17.77
22,18,21.28,19.2
26,18,19.93,18.8
23,16,20.97,18.6
25,17,21.77,18.17
21,19,20.63,18.1
23,17,22.43,17.52
28,18,20.4,18.33
20,17,21.53,17.7
25,17,20.73,17.82
20,17,21.4,19.18
24,17,20.4,19.85
22,20,21.23,17.82
20,16,21.68,19.52
23,18,22.02,18.57
25,17,21.53,18.07
25,16,20.13,17.92
24,18,22.57,18.98
26,17,19.72,18.88
23,21,20.3,19.25
24,19,20.05,18.3
24,18,20.57,17.97
22,19,21.88,18.92
25,19,19.95,17.53
24,16,21.85,19.02
25,20,20.35,17.82
23,17,21.28,17.5
25,18,19.43,18.55
21,18,20.97,18.28
25,17,20.78,18.9
21,20,21.13,18.17
23,17,20.22,18.18
25,16,20.47,19.63
22,16,21.23,19.33
25,18,19.65,17.68
20,16,21.77,18.38
25,18,18.57,19.12
25,18,21.02,20.03
25,18,22.12,18.93
24,17,20.07,19.82
21,19,22.33,18.22
25,19,19.75,18.23
24,18,21.93,18.97
27,18,21.02,18.72
22,20,20.05,17.98
21,16,20.03,17.98
25,16,21.08,19.2
26,16,22.63,19.75
25,17,19.73,18.23
27,17,20.6,18.23
19,17,20.28,17.63
25,18,20.45,17.8
19,17,21.25,17.83
22,17,20.42,18.43
22,20,21.05,18.07
24,16,20.43,18.43
26,18,22.38,18.37
25,17,20.23,17.5
24,18,19.75,18.5
28,17,21.15,20.07
23,19,21.37,19.18
24,17,21.35,18.97
24,18,20.05,18.37
22,16,20.27,18.6
26,23,24.13,20.35
22,17,20.67,19.35
24,16,20.98,17.72
26,16,21.42,18.47
23,16,20.58,19.05
20,16,20.9,19
22,18,20.53,20.55
23,17,21.78,18.88
23,18,21.78,17.97
21,18,18.77,18.25
24,17,21.93,18.37
22,20,20.88,17.77
21,16,20.87,19.08
25,17,19.7,19.92
27,16,20.47,18.87
24,18,22.3,18.1
22,17,20.85,19.35
27,18,21.17,17.7
25,16,19.5,18.57
27,18,20.48,18.55
26,19,23.45,18.17
25,17,21.45,18.62
26,16,21.28,18.13
25,18,21.57,17.78
19,16,22.58,18.9
24,16,22.12,18.68
24,16,19.9,19.03
21,18,21.27,18.48
20,18,20.68,18.08
23,18,23.22,18.18
25,19,20.6,19.77
26,16,22.2,18.8
25,17,20.17,19.32
23,18,21.23,18.3
22,17,23.12,19.07
21,19,22.1,20.13
24,17,19.17,17.78
23,19,21.47,18.2
23,16,21.37,19.52
25,17,21.92,18.53
24,16,21.97,17.83
22,17,20.75,17.93
27,17,20.3,18.08
26,17,21.88,19.22
23,17,19.47,18.73
26,16,21.73,18.72
24,20,20.92,18.37
26,17,20.82,17.73
25,16,20.17,18.42
24,19,23.42,17.72
23,17,21.37,18.15
25,17,19.88,18.47
24,18,21.27,18.22
26,16,21.33,18.08
26,16,20.43,17.5
23,18,22.55,20.05
23,17,22.35,18.25
24,19,20.13,18.25
25,19,21.05,18.28
24,16,21.85,18.18
24,18,18.33,18.35
22,18,22.48,20.13
22,16,21.23,19.82
29,16,20.98,17.63
24,17,21.27,18.43
23,18,21.27,19.8
24,18,20.28,18.95
24,17,21.98,17.63
25,18,18.72,18.97
28,18,21.07,17.88
23,17,20.82,18.82
24,17,18.82,18.77
24,18,20.62,17.78
25,18,21.1,18.65
22,16,23.12,18.67
24,16,21.58,17.55
22,18,21.18,17.67
27,18,20.93,17.78
23,16,21.13,17.5
22,17,20.25,17.98
25,18,20.63,19.7
21,17,21.28,17.5
23,18,21.97,18.3
21,16,22.18,17.5
25,21,20.32,17.83
27,16,21.72,19.13
28,18,22.17,18.97
26,18,21.75,18.12
25,18,21.7,18.32
23,18,20.08,17.78
27,19,20.75,18.62
20,17,21.07,17.5
23,18,20.93,18.35
24,16,21.58,18.72
23,18,21.72,17.5
27,18,19.73,18.2
23,18,18.03,19.43
25,17,22.35,20.3
23,19,21.88,19.35
25,19,21.57,18.72
24,20,19.33,19.35
24,17,21.92,18.27
21,17,19.8,18.93
21,17,20.2,18.42
27,17,21.23,17.93
23,18,22.13,18.17
27,17,19.12,17.8
23,17,20.7,19.17
26,20,20.33,18.6
27,17,20.93,19.8
26,18,20.95,18.12
20,17,20.77,19.95
24,16,22.17,20.3
23,17,22.83,18.07
22,20,22.58,19.43
25,17,19.57,18.73
21,18,21.4,18.2
26,17,18.78,18.1
26,17,21.08,17.5
24,16,19.67,18.15
24,18,20.4,18.27
26,18,20.93,17.98
22,16,21.47,17.93
21,17,22.37,18.03
22,21,20.22,17.78
22,18,21.07,17.65
23,17,19.77,18.13
27,19,20.75,20.03
22,16,19.98,18.47
24,16,22.02,18.77
22,17,20.33,19.43
24,17,20.23,17.83
23,18,20.73,18.75
23,20,21.85,19.02
19,17,20.9,18.77
25,16,20.2,19.68
25,19,21.43,18.83
22,16,20.97,18.02
23,16,22.27,18.17
23,18,20.75,18.6
26,17,21,17.87
20,17,21.2,19.17
25,18,20.8,20.02
24,16,20.93,19.63
24,19,22.58,19.62
24,18,19.68,17.53
24,17,21.23,18.25
23,18,22.08,19.75
26,16,19.47,19.05
27,17,20.73,18.47
23,17,22.28,17.7
22,16,20.82,17.85
23,17,20.32,20.17
25,17,20.23,18.32
24,17,19.68,18.23
28,18,21.13,20.95
21,18,20.27,19.13
22,16,21.33,18.03
24,18,20.52,17.63
28,17,22.18,18.87
24,19,20.13,18.87
24,18,20.53,18.85
24,20,19.92,18.07
23,17,20.62,18.88
23,16,20.35,19.27
25,18,20.72,18.47
25,21,22.08,19.03
24,19,20.4,19.62
26,17,21.13,18.88
25,16,21.3,18.77
25,17,20.97,19.28
26,18,19.48,18.43
22,19,20.25,18.3
23,17,20.52,17.65
23,20,22.53,18.28
24,18,19.77,19.95
26,17,20.65,19.93
25,17,19.55,19.02
25,18,20.75,18.7
20,16,20.4,18.35
30,17,22.28,18.67
26,17,21.68,19.95
24,18,21.15,18.47
24,18,21.65,18.78
26,17,21.72,18.47
22,19,20.03,18.13
27,18,20.03,18.45
26,16,19.37,17.57
26,17,21.38,18.67
26,17,21.62,18.1
26,17,21.07,18.05
22,17,22.32,17.77
23,18,21.17,20.15
25,16,21.65,17.5
24,17,21.4,19.6
25,18,20.67,18.82
25,20,22.6,18.58
22,18,20.3,20.32
23,17,19.72,19.88
28,16,21.05,18.13
27,16,21.35,18.17
24,17,20.1,18.95
25,16,21.82,17.55
21,17,21.37,19.22
24,16,22.43,18.57
21,17,19.9,18.75
21,18,20.37,17.92
23,20,22.42,18.52
24,17,18.83,18.55
24,20,21.13,18.1
25,18,19.9,17.5
26,18,20.72,19.58
27,17,21,18.42
24,16,22.58,18.15
24,17,20.87,17.52
25,17,21.23,18.27
25,17,20.98,18.42
24,17,22.4,18.8
22,20,20.53,17.5
22,17,22,17.93
24,19,20.98,19.32
24,16,21.02,19.28
25,19,21.02,18.7
25,18,19.93,19.03
22,18,21.93,18.58
24,17,21.38,19.75
24,16,20.43,18.47
24,17,22.85,18.03
26,18,19.48,18.35
24,19,19.83,17.8
25,17,21.35,19.2
22,17,23.17,18.55
24,18,20.95,20.63
23,17,20.9,17.5
27,16,20.6,18.37
23,18,20.52,19.65
24,17,21.32,18.4
21,20,20.78,17.63
22,17,20.7,18.28
27,17,20.67,17.93
24,19,20.32,19.4
23,17,21.37,19.82
24,18,18.83,18.47
25,16,20.47,19.87
23,17,20.93,18.73
23,19,22.03,17.92
26,19,20.37,17.5
24,19,21.48,18.37
28,16,19.07,19.53
26,18,21.97,18.98
25,16,21.3,19.3
24,16,21.9,18.77
24,16,22.42,18.8
21,17,21.98,17.53
23,20,22.35,18.9
22,20,21.08,19.22
24,20,20.12,18.75
19,17,21.17,21.5
22,17,22.12,17.55
26,16,22.08,18.83
25,21,19.92,19.12
20,17,21.93,19.43
26,19,19.05,19.73
24,19,21.35,21.22
24,16,20.7,18.13
23,17,20.1,17.5
20,18,21.88,19.63
25,17,22.95,17.57
26,17,22.77,18.25
21,17,21.53,19.75
24,16,19.38,18.53
27,17,20.2,19.02
23,16,21.18,17.55
25,18,21.87,18.47
21,18,23.1,19.35
28,17,21.87,18.9
23,19,21.17,19.87
26,16,20.42,17.5
21,17,18.55,19.78
24,17,21.48,18.22
26,19,20.77,18.67
19,18,19.38,17.57
25,18,21.93,19.43
26,18,20.15,18.72
26,17,21.65,17.73
22,16,20.73,18.78
22,21,21.97,18.3
25,17,20.2,19.4
21,16,20.98,18.02
23,17,20.4,20.52
24,20,20.78,19.27
26,17,21.73,17.75
22,20,21.4,17.5
21,19,19.32,20.25
24,17,21.52,19.2
27,17,21.65,19.08
22,17,21.62,19.32
24,17,22.4,17.73
23,17,20.7,17.5
20,17,21.38,19.65
21,19,19.37,18.93
26,18,21.98,18.65
25,17,19.83,17.92
24,17,23.63,19.78
24,17,21.8,17.93
23,17,21.12,18.93
24,17,21.18,19.23
25,17,20.95,18.68
26,19,19.47,18.63
26,19,21.4,17.98
23,17,20.63,17.5
24,16,20.23,19.7
26,19,19.88,18.33
21,16,21.13,17.95
22,18,21.27,19.15
25,16,19.1,19.42
24,18,19.13,19.53
25,20,21.82,19.6
26,21,18.52,17.98
22,18,19.73,18.17
23,19,23.17,18.4
24,19,22.38,17.57
25,16,21.53,17.7
21,18,24.03,19.27
21,17,21.37,19
26,20,19.93,19.12
22,19,20.58,18.07
23,19,21.13,20.48
23,17,20.7,20.1
21,18,22.27,18.07
26,17,22.07,18.98
23,17,21.35,18.62
22,17,19.37,18.42
23,17,20.17,20.08
25,16,19.87,17.68
30,17,21.13,19.23
24,18,19.83,20.33
26,18,20.82,18.7
24,16,21.23,19.38
23,16,20.7,20.73
21,19,20.68,18.2
23,18,20.08,17.5
24,16,22.48,18.07
23,19,21,18.8
25,17,21.42,19.37
22,16,18.8,19.25
24,17,20.67,21.15
26,17,19.68,18.68
25,16,21.07,18.22
26,19,19.88,18.18
26,18,21.5,19.12
23,17,20.77,18.85
26,17,21.32,18.78
26,17,22,18.73
23,19,22.42,18.53
25,17,19.47,17.9
23,16,19.23,18.88
25,19,22.17,19.23
23,19,20.9,19.03
28,19,19.87,19.13
26,16,21.58,18.85
24,18,22.43,17.5
24,17,19.87,19.03
24,18,21.12,19
22,18,21.47,18.72
26,17,21.3,19.28
25,17,21.98,18.87
25,17,22.07,19.15
26,18,21.73,17.98
23,17,19.48,18.05
28,20,22.23,18.93
29,17,20.5,19.93
21,19,20.58,19.23
24,20,21.12,20.38
24,20,20.9,17.57
28,16,20.18,19.02
26,16,20.33,17.63
24,17,22.13,20.1
25,17,21.32,18.75
24,17,21.45,19.52
23,18,21.43,18.87
22,17,22.12,17.5
21,18,20.4,18.1
23,17,20.2,19.78
28,17,21.63,18.57
27,20,22.48,18.28
24,16,19.78,19.32
23,17,20.03,19.58
25,17,20.6,19.9
24,19,19.03,18.12
27,16,19.53,19.3
23,17,20.08,18.58
26,18,20.33,19.28
25,20,20.98,18.07
25,18,20.15,18.47
28,16,20.4,18.07
23,17,21.05,18.12
25,18,21.17,18.55
25,16,22.05,20
21,16,21.1,18.6
19,16,21.57,17.77
26,16,20.1,19.9
21,18,21.32,19.25
22,17,22.72,17.9
25,18,19.4,19.4
26,18,22.1,18.63
26,17,20.57,18.65
26,17,20.88,17.87
24,17,20.55,18.03
26,17,21.12,19.02
27,17,20.82,20.67
22,21,22.48,18.92
23,18,20.62,18.33
22,20,20.97,18.37
27,18,20.27,19.13
23,21,20.75,19.32
22,18,20.9,17.97
26,18,19.37,18.28
21,20,18.8,20.4
23,16,22.42,17.98
19,18,23.03,19.12
26,16,19.92,18.18
24,19,20.17,18.47
26,19,21.53,19.35
26,17,21.98,18.38
24,19,20.7,18.2
23,17,19.42,18.45
22,16,21.52,19.82
24,18,21.37,17.83
28,18,21.58,18.15
25,17,21.75,17.95
23,17,20.97,20.03
22,19,20.92,17.75
26,16,19.5,18.47
22,16,19.95,19.75
24,17,21.22,18.37
22,20,21.5,20.13
27,19,21.98,18.45
24,17,21.53,19.13
24,17,20.25,17.55
23,19,20.98,18.22
22,17,21.03,18.07
28,17,23.17,18.87
25,18,21.28,18.78
26,16,20.95,19.08
25,16,20.92,18.42
24,17,21.47,18.87
24,21,18.88,18.45
24,19,21.57,20.05
24,17,20.75,18.8
27,16,21.98,17.72
26,18,22.65,18.58
24,18,22.43,18.12
24,16,19.25,19.45
22,17,22.15,18.07
23,17,22.85,18.42
26,17,20.35,18.78
26,18,21.02,19
26,16,22.45,18.5
21,17,21.1,17.95
22,16,20.25,18.98
26,17,20.87,19.23
22,18,20.47,19.98
23,16,20.93,17.55
21,16,19.9,20.08
25,16,20.28,20.95
23,16,19.28,18.7
25,19,22.68,18.78
24,17,20.82,20.93
25,17,21,18.98
26,16,21.42,17.62
23,17,20.43,20.87
27,20,21.88,18.82
25,18,21.08,19.6
26,17,21.07,19.05
21,17,19.95,19
26,16,20.18,18.38
24,19,19.8,18.47
21,19,22.35,19.12
23,17,21.05,18.55
26,18,22.02,17.85
22,16,22.07,17.78
22,17,21.73,18.1
25,17,19.93,19.27
24,16,22.83,18.25
27,17,21.1,19.1
22,16,21.05,18.1
23,17,18.57,18.87
24,18,20.22,19.25
24,17,21.35,19.62
23,19,19.83,17.85
26,16,20.7,18.38
23,18,21.6,17.5
24,17,21.3,17.78
26,18,19.63,17.5
25,17,19.92,17.77
25,18,21.18,19.82
22,18,19.68,18.62
26,19,21.87,18.42
26,17,21.93,18.5
25,16,20.92,19.17
26,18,21.2,17.5
26,17,21.52,18.28
25,17,21.72,17.75
27,18,20.9,18.97
28,16,20.87,17.98
24,19,19.58,18.75
24,18,18.98,21.4
22,17,20.82,19.17
23,17,22.38,18.17
24,18,19.95,18.2
23,18,20.52,17.97
26,17,24.88,19.15
22,16,20,19.28
23,18,19.98,18.05
25,17,20,19.58
25,16,21.08,19.68
24,18,18.03,18.78
25,19,20.28,20.4
25,19,20.18,18.27
21,16,20.45,20.32
25,20,22.78,18.32
25,18,18.97,18.6
23,18,21.48,19.15
22,16,20.65,18.47
25,17,21.17,17.72
20,19,23.48,18.12
24,16,23.73,19.53
22,19,22.92,19.78
24,18,20.4,19.05
21,17,21.73,18.07
24,18,23.03,18.77
24,19,23.05,18.17
24,19,21.52,18
24,20,20.57,19.47
22,19,23.87,17.5
25,16,21.22,17.75
27,17,19.63,18.28
26,17,21.63,19.33
24,18,20.17,19.1
22,19,19.47,19.1
24,16,19.48,20.67
21,17,21.43,19.15
21,17,19.8,19.12
21,17,20.6,18.77
29,16,18.8,18.13
23,20,20.35,19.07
25,16,22.05,18.18
27,16,21.08,18.93
24,19,20.98,17.5
22,18,21.8,19.35
28,18,23.02,19.88
19,17,21.8,19.23
22,17,22.37,20.17
24,18,21.48,17.62
25,18,21.32,19.2
21,17,20.48,18.5
26,17,20.35,17.5
25,20,21.93,18.42
24,19,20.05,18.02
27,17,21.82,18.45
26,18,19.98,18.32
27,19,21.82,19.23
22,16,22.8,17.82
26,17,21.93,17.7
22,16,19.92,20.07
23,18,19.28,18.92
24,17,20.57,19.9
22,17,23.23,19.22
26,17,21.23,19.03
22,18,20.43,19.3
20,17,20.43,19.43
22,16,22.43,18.52
24,19,19.97,18.2
25,18,22.3,18.77
26,17,20.77,18.13
26,16,21.92,17.63
24,17,21.73,18.07
22,17,19.32,18.63
26,19,22.65,18.6
23,17,20.55,17.8
24,16,19.67,19.37
22,19,21.48,19.4
22,16,20.48,18.77
21,17,20.32,18.73
24,17,20.13,19.47
23,16,19.97,17.8
24,18,20.95,19.88
24,17,19.57,18.02
27,20,22.13,19.77
23,17,19.8,19.8
27,16,19.8,19.02
27,18,21.42,17.97
23,17,20.45,18.17
25,17,21.63,18.87
27,17,21.02,19.73
22,16,22.62,18.83
24,17,22.33,19.72
20,17,20.67,19.17
25,20,22.07,19.35
21,17,22.67,18.35
20,16,19.67,18.9
24,17,20.02,18.75
22,19,18.73,18.92
24,17,21.48,19.17
24,17,19.05,18.95
25,18,20.68,19.22
23,18,20.53,18.32
25,16,20.68,19.22
27,17,18.52,18.12
27,18,21.83,18.2
24,17,21.63,17.5
23,17,23.27,18.28
24,18,20.33,17.9
26,18,20.22,18.65
25,19,20.53,17.5
21,20,21.85,17.5
27,18,20.63,18.15
23,17,20.55,18.93
26,19,21.7,20.15
24,17,20.82,19.42
24,16,20.23,18.72
21,17,22.25,17.88
24,16,20.48,20.53
25,17,21.37,17.77
23,18,21.38,17.83
28,18,20.12,18.63
23,16,19.9,18.15
28,17,20.28,17.5
21,19,21.57,18.48
27,18,20.43,18.7
25,18,22.25,17.65
23,19,21.93,18.5
26,17,22.68,18.52
22,18,20.72,19.37
22,17,19.68,17.97
26,17,20.65,18.4
27,18,20.37,19.45
27,16,20.95,17.5
25,17,21.38,20.85
23,18,20.78,18.82
21,17,21.75,17.83
24,16,19.32,18.47
22,16,21.35,19.12
22,17,21.25,19.32
26,18,21.07,20.05
24,17,22.37,19.45
26,16,20.35,17.8
28,19,24.1,17.97
24,19,19.73,17.5
25,18,22.45,19.35
23,17,19.78,17.5
27,19,21.25,19
25,21,20.25,18.3
23,18,21.97,19.3
25,17,22.07,17.98
23,17,20.37,18.22
23,18,22.37,17.5
24,17,20.45,18.05
26,16,21.88,18.68
27,16,21.15,17.95
21,16,21.62,18.3
20,17,19.47,19.25
23,18,20.9,18.98
22,19,20.28,18.05
25,17,20.5,18.25
27,19,21.85,18.85
22,17,19.75,17.87
21,16,21.97,18.4
21,17,21.58,18.57
23,17,19.37,19.42
26,17,20.53,19.13
21,17,22.23,18.22
28,17,20.7,17.85
20,16,22.42,19.8
23,20,19.85,18.17
22,17,20.87,18.85
24,18,20.47,19.62
23,16,22.05,17.95
24,19,19.43,18.9
21,18,20.87,19.2
24,18,20.28,18.67
25,20,19.32,17.75
22,16,21.45,18.37
23,19,21.4,17.78
26,19,20.47,17.77
23,19,19.1,19.58
24,16,20.18,18.62
23,20,19.53,17.6
23,18,18.82,19.52
22,16,23.27,17.5
26,16,20.8,18.57
23,16,20.83,18.63
25,16,21.05,19.02
25,21,22.08,18.1
24,20,20.75,18.55
24,16,21.8,18.03
24,16,21.63,20.02
26,18,20.85,19.47
23,16,21.83,19.32
27,17,20.28,17.5
23,17,20.95,18.65
26,16,21.73,18.08
28,17,22.3,18.68
22,17,20.1,20.63
24,17,22.03,18.4
26,20,20.73,19.75
27,18,20.37,17.57
25,17,19.73,18.22
24,17,22.62,19.65
23,17,19.6,19.03
21,17,22,18.02
20,18,21.67,19.87
27,17,20.87,18.03
24,19,21.82,19.3
23,17,21.37,18.53
24,19,19.98,18.93
21,17,18.88,18.32
25,17,19.53,18.57
23,19,21.17,17.85
28,18,21.58,18.98
21,18,21.83,18.32
25,19,21.73,17.85
22,20,19.48,18.38
27,18,20.8,18.67
23,17,21.38,19.33
26,19,21.1,19.43
26,16,20.32,17.88
27,18,20.68,18
25,18,22.18,18.4
27,17,21.78,19.57
21,17,21.97,19.62
25,19,20.75,19.65
26,18,21.9,17.88
27,16,22.13,19.05
25,17,19.45,18.15
21,19,20.97,18.12
27,16,20.15,17.72
26,18,21.78,18.95
26,17,19.9,17.85
22,17,21.63,19.02
26,18,21.27,19.13
24,16,22.02,19.95
22,17,23.73,18.23
27,18,21.38,18.75
25,18,19.55,18.5
26,16,19.93,19.87
22,19,21.95,18.17
22,16,20.38,19.72
25,19,19.52,18.78
25,19,21.2,19.65
22,18,21.63,18.92
25,16,21.4,19.63
22,18,20.9,19.02
26,17,20.45,18.22
25,17,21.77,17.78
22,18,20.87,19.68
23,17,22.22,18.35
24,20,22.17,18.62
25,17,19.58,18.67
23,17,20.48,18.53
26,17,20.12,17.5
25,17,20.67,18.95
24,16,20.68,19.17
26,16,20.47,18.62
26,16,21.4,18.63
22,18,22.12,18.4
25,19,20.05,17.77
26,17,20.07,18.85
25,17,18.97,17.8
22,20,21.33,18.18
28,21,21.65,19.05
24,19,20.93,18.55
24,17,22.57,19.1
22,16,22.72,18.98
24,17,21.03,17.8
24,19,20.5,18.33
22,18,21.3,17.97
20,16,21.17,17.68
27,16,19.52,17.5
26,18,22.3,17.97
25,18,20.12,17.5
28,16,22.75,21.48
28,17,20.9,17.77
27,16,20.38,19.2
22,18,19.18,18.03
25,20,24.55,19.68
26,16,22.22,18.5
26,18,20.93,18.77
23,17,20.15,18.1
26,17,21.12,17.78
23,16,20.48,18.48
24,18,20.77,18.08
23,18,20.57,17.8
19,16,20.52,17.85
24,16,21.42,18.82
22,20,20.68,19.07
24,19,20.58,18.58
22,16,21.4,17.87
27,19,20.93,19.55
25,17,21.32,18.33
27,16,22.53,17.72
26,17,18.57,17.93
24,17,21.7,18.22
21,17,21.8,19.2
23,18,21.65,18.02
26,18,19.68,19.05
21,16,23,18.02
26,18,21,18.03
25,17,21.33,17.5
23,20,20.55,18.72
22,17,19.58,18.87
22,17,21.17,17.5
23,17,21.38,18.4
25,19,21.27,17.85
22,17,20.12,19.45
24,18,20.6,18.65
22,17,20.08,18.05
27,17,19.85,17.5
20,17,21.15,17.6
24,18,19.38,19.57
22,18,22.2,19.07
22,17,20.92,17.58
25,16,21.82,18.88
23,17,21.05,18.73
23,17,20.15,18.6
25,16,20.9,18.8
22,19,19.88,18.12
26,18,23.08,18.32
25,17,19.4,18.53
22,20,21.7,18.7
27,18,20.3,20.52
25,17,21.15,21.03
22,19,21.57,18.1
